Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos.1,Awards
1,Larry Brown#,38,C,0.7,44,159,136,14,36,6,0,0,17,3,21,.265,.367,.309,.676,102,.342,107,42,0,1,1,0,*2,AS
2,Jelly Taylor*,29,1B,0.3,48,183,155,23,39,5,2,1,10,7,18,.252,.329,.329,.659,97,.325,94,51,0,0,10,2,*3,AS
3,Fred Bankhead,27,2B,1.0,46,186,162,39,39,5,2,1,12,8,19,.241,.332,.315,.646,93,.328,96,51,0,3,2,0,*4/5,
4,T.J. Brown,24,SS,0.2,48,171,154,20,40,11,0,0,15,4,10,.260,.309,.331,.640,92,.314,90,51,0,1,6,0,*6,
5,Marlin Carter*,27,3B,0.8,42,166,148,9,40,4,4,0,16,4,14,.270,.333,.351,.685,105,.334,102,52,0,0,4,0,5/479,
6,Red Longley,30,LF,0.3,43,158,135,19,33,8,1,0,15,2,20,.244,.342,.319,.660,98,.330,100,43,0,0,3,0,*789,
7,Verdell Mathis*,26,CF,0.1,42,127,114,13,24,3,0,1,9,3,11,.211,.280,.263,.543,63,.273,66,30,0,0,2,0,8/173,
8,Bill Bradford*,26,RF,-0.3,33,104,95,11,25,4,0,0,10,2,7,.263,.320,.305,.626,87,.310,89,29,1,1,1,0,9/74,
9,Neil Robinson,32,UT,1.6,30,112,97,16,30,3,1,4,21,5,14,.309,.402,.485,.886,165,.428,155,47,0,1,0,0,85/6,AS
10,Lafayette Dumas,20,OF,-0.4,21,54,52,6,11,0,0,1,4,1,1,.212,.226,.269,.496,48,.239,46,14,0,0,1,0,/71893,
11,Nat Rogers*,46,OF,-0.1,22,52,52,4,13,0,0,0,6,1,0,.250,.250,.250,.500,50,.242,49,13,0,0,0,0,9/278,
12,Jesse Warren,25,IF,0.1,10,32,30,1,8,1,0,0,4,0,1,.267,.290,.300,.590,77,.289,75,9,0,0,1,0,/54,
13,Johnnie Dawson,25,C,-0.2,8,17,17,1,2,1,0,0,1,0,0,.118,.118,.176,.294,-12,.138,-12,3,0,0,0,0,/2,
14,Cowan Hyde,33,OF,-0.1,3,14,13,2,3,1,0,0,3,0,1,.231,.286,.308,.593,78,.292,77,4,0,0,0,0,/978,
15,Henry Nears,33,UT,0.0,5,12,12,0,5,0,0,0,3,0,0,.417,.417,.417,.833,149,.406,143,5,0,0,0,0,/928,
16,Babe Davis,31,OF,0.1,5,10,5,3,1,0,0,0,0,0,4,.200,.600,.200,.800,140,.483,188,1,0,1,0,0,/7,
17,Ruben Jones*,46,OF,0.0,6,6,6,1,2,0,0,0,0,0,0,.333,.333,.333,.667,100,.324,96,2,0,0,0,0,/78,
18,Hughes,,OF,0.0,1,4,4,0,2,0,0,0,0,0,0,.500,.500,.500,1.000,199,.487,190,2,0,0,0,0,/9,
19,Felix Evans,29,OF,-0.1,3,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-94,0,0,0,0,0,/179,
20,Eugene Bremer,23,P,0.2,24,45,39,5,7,1,1,0,4,0,4,.179,.273,.256,.529,58,.269,63,10,0,1,1,0,1/98,AS
21,Willie Hutchinson,25,P,0.0,8,20,20,2,4,0,1,0,4,0,0,.200,.200,.300,.500,50,.233,43,6,0,0,0,0,/178,
22,Junius Savage,21,P,0.0,9,14,12,2,2,0,0,0,1,0,1,.167,.231,.167,.397,19,.209,23,2,0,0,1,0,/1,
23,Lefty Wilson,23,P,0.0,8,13,13,2,2,0,0,0,0,0,0,.154,.154,.154,.308,-8,.150,-5,2,0,0,0,0,/1,
24,Big Train Jackson*,23,P,-0.1,6,12,10,0,0,0,0,0,0,0,1,.000,.091,.000,.091,-73,.070,-66,0,0,0,1,0,/1,
25,William Sumrall,23,P,-0.1,10,12,12,1,1,0,0,0,1,0,0,.083,.083,.083,.167,-50,.081,-45,1,0,0,0,0,/1,
26,Lefty Boone,20,P,0.0,9,6,5,1,1,0,0,0,2,1,0,.200,.200,.200,.400,20,.217,5,1,0,0,1,0,/1,
27,Roosevelt Davis,35,P,0.0,1,4,4,0,1,0,0,0,0,0,0,.250,.250,.250,.500,50,.243,49,1,0,0,0,0,/1,
28,William Newman,,P,0.1,1,1,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,498,.973,469,1,0,0,0,0,/1,
