Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB
Fred Bankhead,28,3B,0.2,17,61,50,5,10,1,1,0,12,2,3,0.2,0.273,0.26,0.533,60.0,0.269,61.0,13,0,2,6,0
Marlin Carter*,28,2B,0.2,19,83,77,7,23,4,0,0,11,3,4,0.299,0.333,0.351,0.684,106.0,0.331,105.0,27,0,0,2,0
Red Longley,31,LF,0.6,15,56,47,11,12,2,1,1,10,1,8,0.255,0.364,0.404,0.768,131.0,0.368,131.0,19,0,0,1,0
Neil Robinson,33,CF,0.7,18,77,63,11,19,4,2,0,9,2,11,0.302,0.413,0.429,0.842,153.0,0.404,153.0,27,0,1,2,0
Cowan Hyde,34,RF,1.1,15,68,62,14,24,3,3,0,9,5,4,0.387,0.424,0.532,0.957,187.0,0.457,181.0,33,0,0,2,0
T.J. Brown,25,SS,0.2,19,69,59,7,12,1,1,0,6,0,5,0.203,0.277,0.254,0.531,60.0,0.264,62.0,15,0,1,4,0
Larry Brown#,39,C,0.2,10,32,31,2,9,1,0,0,5,1,1,0.29,0.313,0.323,0.635,91.0,0.306,90.0,10,1,0,0,0
Subby Byas#,31,UT,0.1,12,42,35,5,11,2,1,0,5,0,2,0.314,0.4,0.429,0.829,149.0,0.399,151.0,15,0,3,2,0
Verdell Mathis*,27,P,0.5,10,30,29,6,12,0,0,0,4,0,1,0.414,0.433,0.414,0.847,155.0,0.407,153.0,12,0,0,0,0
Nat Rogers*,47,OF,0.3,12,39,33,6,10,4,0,0,3,0,5,0.303,0.395,0.424,0.819,146.0,0.393,146.0,14,0,0,1,0
Jelly Taylor*,30,1B,0.2,16,65,58,10,14,2,0,0,2,1,7,0.241,0.323,0.276,0.599,81.0,0.297,86.0,16,0,0,0,0
Porter Moss,31,P,0.3,10,22,21,2,7,1,0,0,2,0,1,0.333,0.364,0.381,0.745,124.0,0.357,122.0,8,0,0,0,0
Lloyd Davenport*,29,UT,0.0,2,8,6,1,1,1,0,0,1,0,1,0.167,0.375,0.333,0.708,113.0,0.361,125.0,2,0,1,0,0
Willie Hutchinson,26,P,0.2,6,10,9,2,4,0,0,0,1,2,0,0.444,0.444,0.444,0.889,167.0,0.454,173.0,4,0,0,1,0
Ted Radcliffe,38,P,0.3,9,11,9,2,3,1,0,1,1,0,2,0.333,0.455,0.778,1.232,268.0,0.551,243.0,7,0,0,0,0
Bill Bradford*,27,OF,-0.1,2,9,8,0,2,0,0,0,0,0,1,0.25,0.333,0.25,0.583,76.0,0.295,84.0,2,0,0,0,0
Lafayette Dumas,21,1B,-0.1,2,9,9,1,2,0,0,0,0,0,0,0.222,0.222,0.222,0.444,34.0,0.212,32.0,2,0,0,0,0
Tice James,26,IF,-0.1,3,7,6,1,1,0,0,0,0,0,0,0.167,0.167,0.167,0.333,0.0,0.159,-17.0,1,0,0,1,0
Bill Hoskins*,27,OF,0.0,1,4,4,1,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,50.0,0.239,48.0,1,0,0,0,0
Robert Keyes*,,P,0.0,2,4,4,1,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,50.0,0.239,48.0,1,0,0,0,0
Felix Evans,30,P,-0.1,2,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-102.0,0,0,0,0,0
