Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,SH
Alex Radcliff,36,3B,-0.3,28,116,111,10,20,4,2,1,11,0,5,0.18,0.216,0.279,0.495,52.0,0.234,55.0,31,0
Art Pennington#,19,1B,0.3,26,102,86,8,20,1,1,1,10,0,15,0.233,0.347,0.302,0.649,100.0,0.323,107.0,26,1
Jimmie Crutchfield*,32,RF,0.1,25,94,83,5,19,1,1,0,8,0,11,0.229,0.319,0.265,0.584,81.0,0.292,89.0,22,0
Cool Papa Bell#,39,CF,0.7,26,112,98,14,29,4,2,0,7,0,12,0.296,0.373,0.378,0.75,131.0,0.361,130.0,37,2
Walter Cannady,40,2B,0.0,13,50,46,4,11,1,0,0,6,0,3,0.239,0.286,0.261,0.547,69.0,0.268,74.0,12,1
Willie Ferrell,28,P,0.1,12,27,26,1,7,0,0,0,5,0,1,0.269,0.296,0.269,0.566,75.0,0.275,78.0,7,0
John Huber*,34,C,-0.4,20,61,60,8,11,2,0,0,4,1,1,0.183,0.197,0.217,0.413,27.0,0.197,33.0,13,0
Jabbo Andrews*,34,,-0.1,11,44,43,2,10,4,0,0,4,0,1,0.233,0.25,0.326,0.576,76.0,0.27,76.0,14,0
Ralph Wyatt,24,SS,0.4,24,97,90,11,24,1,2,0,4,1,6,0.267,0.313,0.322,0.635,95.0,0.303,96.0,29,1
Ed Young,29,UT,0.1,6,20,20,2,7,1,0,0,4,1,0,0.35,0.35,0.4,0.75,130.0,0.358,125.0,8,0
Lester Lockett,30,MI,0.0,10,41,37,3,7,1,0,0,4,1,4,0.189,0.268,0.216,0.485,50.0,0.245,61.0,8,0
John Bissant,28,LF,-0.3,13,44,43,6,8,0,0,0,3,1,1,0.186,0.205,0.186,0.391,21.0,0.19,29.0,8,0
Army Rhodes,24,1B,-0.2,5,19,18,2,3,1,0,0,2,0,0,0.167,0.167,0.222,0.389,19.0,0.181,19.0,4,1
John Britton*,23,3B,0.0,2,9,9,2,2,0,0,0,2,1,0,0.222,0.222,0.222,0.444,37.0,0.225,42.0,2,0
Clyde Spearman*,29,,-0.3,12,41,35,5,5,0,0,0,2,1,4,0.143,0.231,0.143,0.374,16.0,0.199,30.0,5,2
Charlie Shields*,19,P,0.1,6,17,16,3,3,0,2,0,2,1,0,0.188,0.188,0.438,0.625,90.0,0.282,77.0,7,1
Ziggy Marcell,25,C,0.0,3,11,11,2,3,0,0,0,1,0,0,0.273,0.273,0.273,0.545,68.0,0.26,70.0,3,0
Willie Cornelius,35,P,0.1,7,8,8,1,3,0,0,0,1,0,0,0.375,0.375,0.375,0.75,131.0,0.357,127.0,3,0
Ollie West*,28,P,0.2,7,20,17,1,4,0,0,0,1,0,3,0.235,0.35,0.235,0.585,82.0,0.302,94.0,4,0
Jimmy Ford,29,2B,-0.1,2,9,9,1,1,0,0,0,1,0,0,0.111,0.111,0.111,0.222,-32.0,0.106,-21.0,1,0
Henry Smith,,MI,-0.1,9,39,36,3,7,0,0,0,1,0,2,0.194,0.237,0.194,0.431,33.0,0.215,42.0,7,1
George Britt,46,UT,-0.1,9,22,21,0,5,0,0,0,0,0,1,0.238,0.273,0.238,0.511,58.0,0.25,64.0,5,0
Ernie Smith*,34,C,0.0,7,23,22,1,5,0,0,0,0,0,1,0.227,0.261,0.227,0.488,51.0,0.239,58.0,5,0
Burrows,,,0.0,1,4,4,0,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,54.0,0.238,57.0,1,0
Bob Smith,35,C,0.0,1,4,4,1,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,54.0,0.238,57.0,1,0
Percy Howard,,C,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Cleo Benson,28,C,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-77.0,0,0
Subby Byas#,32,C,0.0,1,1,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.744,346.0,0,0
Taylor,,C,0.0,1,3,3,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,105.0,0.318,103.0,1,0
Leroy Sutton,21,P,0.0,5,12,12,0,2,0,0,0,0,0,0,0.167,0.167,0.167,0.333,3.0,0.159,11.0,2,0
Samuel Thompson,34,P,-0.1,4,10,10,0,1,0,0,0,0,1,0,0.1,0.1,0.1,0.2,-38.0,0.107,-26.0,1,0
Gentry Jessup,27,P,-0.1,5,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-82.0,0,0
Tommy Johnson,27,P,0.0,3,4,4,1,1,1,0,0,0,0,0,0.25,0.25,0.5,0.75,128.0,0.339,116.0,2,0
Willie Burns*,26,P,-0.1,3,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-82.0,0,0
Dave Hoskins*,24,P,0.0,1,2,2,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0,208.0,0.476,200.0,1,0
