Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,SH
Ted Strong#,25,RF,1.8,34,148,132,31,48,8,0,6,32,1,14,0.364,0.425,0.561,0.985,202.0,0.456,187.0,74,2
Willard Brown,27,CF,1.3,35,150,142,25,48,6,2,4,26,2,8,0.338,0.373,0.493,0.866,165.0,0.402,154.0,70,0
Buck O'Neil,30,1B,0.3,36,148,143,20,40,7,1,1,23,2,5,0.28,0.304,0.364,0.668,105.0,0.314,102.0,52,0
Bonnie Serrell*,22,2B,1.6,33,124,114,22,41,4,5,3,22,2,8,0.36,0.402,0.561,0.963,195.0,0.442,179.0,64,2
Joe Greene,30,C,0.7,24,97,84,17,19,5,1,4,18,1,12,0.226,0.323,0.452,0.775,137.0,0.361,130.0,38,1
Bill Williams,29,SS,0.6,36,140,125,13,29,5,2,2,14,2,14,0.232,0.309,0.352,0.661,103.0,0.316,103.0,44,1
Herb Souell#,29,3B,0.1,23,96,92,13,25,3,0,0,10,1,3,0.272,0.295,0.304,0.599,84.0,0.285,85.0,28,1
Hilton Smith,35,P,0.4,13,35,34,5,11,3,0,0,9,0,1,0.324,0.343,0.412,0.755,132.0,0.355,126.0,14,0
Newt Allen,41,3B,0.5,24,102,92,14,28,2,0,0,7,0,7,0.304,0.354,0.326,0.68,110.0,0.33,111.0,30,3
Willie Simms*,33,LF,-0.6,36,166,152,22,29,4,2,0,5,3,11,0.191,0.245,0.243,0.489,51.0,0.238,57.0,37,3
Jack Matchett*,34,P,0.2,10,22,22,2,6,1,0,0,5,0,0,0.273,0.273,0.318,0.591,81.0,0.278,81.0,7,0
Satchel Paige,35,P,0.0,11,29,28,2,5,0,0,0,2,0,0,0.179,0.179,0.179,0.357,10.0,0.17,14.0,5,1
Frank Duncan,41,C,-0.1,11,23,20,0,3,2,0,0,2,0,1,0.15,0.19,0.25,0.44,35.0,0.21,35.0,5,2
Booker McDaniel,28,P,0.2,10,25,23,1,5,1,0,0,2,1,2,0.217,0.28,0.261,0.541,67.0,0.271,73.0,6,0
Jim LaMarque*,21,P,0.1,6,7,7,1,2,0,0,1,2,0,0,0.286,0.286,0.714,1.0,203.0,0.449,181.0,5,0
Frazier Robinson,32,C,-0.1,2,8,8,0,1,0,0,0,1,1,0,0.125,0.125,0.125,0.25,-23.0,0.134,-13.0,1,0
Johnnie Dawson,27,C,-0.2,9,21,20,1,2,1,0,0,1,0,1,0.1,0.143,0.15,0.293,-10.0,0.145,3.0,3,0
Connie Johnson,19,P,0.0,7,13,13,0,2,0,0,0,1,0,0,0.154,0.154,0.154,0.308,-5.0,0.147,4.0,2,0
Norris Phillips*,26,P,0.0,2,2,2,0,1,0,0,0,1,0,0,0.5,0.5,0.5,1.0,208.0,0.476,200.0,1,0
Gready McKinnis,28,P,0.0,1,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-82.0,0,0
Frank Bradley,24,P,0.1,1,2,2,0,2,1,0,0,0,0,0,1.0,1.0,1.5,2.5,664.0,1.155,600.0,3,0
