,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,SF,Pos.1,Awards
0,1,Paul Hardy,32,C,-0.1,33,112,103,9,22,1,0,0,2,2,8,.214,.270,.223,.494,53,.247,62,23,0,1,0,2/7,
1,2,Alphonse Dunn,31,1B,-0.4,26,96,85,11,17,3,2,1,10,3,9,.200,.284,.318,.602,86,.297,89,27,1,1,0,3/87,
2,3,Tommy Sampson,30,2B,1.3,40,175,161,24,47,2,3,0,16,6,11,.292,.337,.342,.679,110,.330,110,55,0,3,0,4/5,AS
3,4,Piper Davis,25,SS,1.7,39,161,142,28,41,12,2,2,24,3,16,.289,.365,.444,.808,149,.384,142,63,1,2,0,6/3459,
4,5,Hoss Walker,38,3B,-0.9,37,142,128,14,22,2,1,0,8,2,7,.172,.232,.203,.435,35,.219,44,26,3,4,0,5/64,
5,6,Lester Lockett,31,LF,0.7,38,160,150,15,37,4,2,1,25,1,9,.247,.289,.320,.609,88,.293,89,48,0,1,0,75,AS
6,7,Felix McLaurin#,21,CF,1.2,33,146,125,27,38,4,1,1,13,5,20,.304,.400,.376,.776,140,.380,140,47,0,1,0,8/9,
7,8,Clyde Spearman*,30,RF,1.1,42,181,156,26,47,1,4,0,17,7,19,.301,.384,.359,.743,130,.365,131,56,2,4,0,9/8,
8,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,SF,Pos,Awards
9,9,Leroy Morney#,34,OF,-0.2,18,68,60,7,10,2,0,0,5,0,7,.167,.265,.200,.465,44,.242,59,12,1,0,0,7/843,
10,10,Leonard Lindsay*,34,1B,-0.1,13,51,46,2,10,2,0,0,3,0,4,.217,.280,.261,.541,68,.269,74,12,0,1,0,3,
11,11,Herman Bell,28,C,-0.1,10,30,27,2,4,0,0,0,1,0,2,.148,.207,.148,.355,10,.184,23,4,0,1,0,2,
12,12,Babe Charter,32,OF,0.0,4,11,11,0,1,1,0,0,1,0,0,.091,.091,.182,.273,-16,.125,-9,2,0,0,0,/97,
13,13,Ed Steele*,27,OF,0.1,2,8,8,1,2,0,0,1,2,0,0,.250,.250,.625,.875,167,.399,150,5,0,0,0,/78,
14,14,Ted Radcliffe,40,C,0.1,1,4,3,0,1,0,0,0,0,0,1,.333,.500,.333,.833,160,.427,166,1,0,0,0,/2,AS
15,15,Leamon Johnson*,26,SS,0.0,1,2,1,0,0,0,0,0,0,0,1,.000,.500,.000,.500,60,.374,136,0,0,0,0,/6,
16,16,Johnny Williams,25,OF,0.0,2,2,1,0,0,0,0,0,0,0,1,.000,.500,.000,.500,60,.374,136,0,0,0,0,/17,
17,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,SF,Pos,Awards
18,17,Alfred Saylor#,31,P,0.3,18,57,51,7,14,1,0,0,3,0,5,.275,.339,.294,.633,96,.315,101,15,0,1,0,1/3,
19,18,John Huber*,35,P,0.1,18,39,36,2,8,1,0,0,3,0,2,.222,.263,.250,.513,59,.253,64,9,0,1,0,/12,
20,19,Alvin Gipson,29,P,0.0,14,35,33,1,7,1,0,0,3,0,0,.212,.212,.242,.455,40,.216,40,8,0,2,0,1,
21,20,Gready McKinnis,29,P,-0.1,14,34,32,4,5,0,0,0,0,0,1,.156,.182,.156,.338,5,.168,13,5,0,1,0,1,AS
22,21,Johnny Markham,34,P,0.1,8,22,21,2,5,1,0,0,1,0,0,.238,.238,.286,.524,62,.249,61,6,0,1,0,/1,
23,22,Jimmie Newberry,24,P,0.1,5,12,10,2,2,0,0,0,1,0,1,.200,.333,.200,.533,66,.288,85,2,1,0,0,/1,
24,23,Jim Daniels,,P,0.0,3,9,9,1,1,1,0,0,1,0,0,.111,.111,.222,.333,2,.153,7,2,0,0,0,/1,
25,24,Dan Bankhead,23,P,0.0,1,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-84,0,0,0,0,/1,
26,,Team Totals,,,4.8,42,1559,1401,185,341,39,15,6,139,29,124,.243,.309,.305,.614,90,.302,93,428,9,25,0,,
27,,Non-Pitcher Totals,,,4.4,,1349,1207,166,299,34,15,6,127,29,115,.248,.317,.316,.633,96,.310,99,381,8,19,0,,
28,,Pitcher Totals,,,0.5,,210,194,19,42,5,0,0,12,0,9,.216,.255,.242,.497,54,.245,59,47,1,6,0,,
