Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,SF,Bats
Willard Brown,28,CF,2.8,53,214,197,33,67,13,2,7,31,4,16,0.34,0.39,0.533,0.923,184.0,0.431,170.0,105,0,1,0,Right
Bonnie Serrell*,23,2B,1.7,53,208,195,28,56,14,5,1,25,3,10,0.287,0.325,0.426,0.751,131.0,0.353,125.0,83,1,2,0,Left
Buck O'Neil,31,1B,0.4,41,162,151,21,43,4,0,1,17,4,9,0.285,0.329,0.331,0.66,104.0,0.32,105.0,50,1,1,0,Right
Herb Souell#,30,3B,0.2,53,221,203,28,52,6,3,0,14,6,13,0.256,0.304,0.315,0.619,92.0,0.301,93.0,64,1,4,0,Both
Hank Thompson*,17,RF,0.9,40,145,130,18,41,6,2,1,14,2,10,0.315,0.373,0.415,0.789,144.0,0.377,139.0,54,2,3,0,Left
Bill Williams,30,SS,1.0,41,171,152,23,37,2,3,0,9,4,17,0.243,0.327,0.296,0.624,93.0,0.309,98.0,45,2,0,0,Right
Hilton Smith,36,OF,-0.2,24,57,53,8,11,2,2,0,8,0,4,0.208,0.263,0.321,0.584,80.0,0.28,81.0,17,0,0,0,Right
Jack Matchett*,35,P,0.4,24,59,53,2,13,3,0,0,7,0,6,0.245,0.322,0.302,0.624,93.0,0.309,98.0,16,0,0,0,Left
Willie Simms*,34,LF,-1.0,30,110,94,14,15,3,1,0,6,2,12,0.16,0.262,0.213,0.474,47.0,0.244,59.0,20,1,3,0,Left
Newt Allen,42,OF,-0.4,37,152,142,16,34,5,0,0,6,1,10,0.239,0.289,0.275,0.564,75.0,0.276,80.0,39,0,0,0,Right
Sammy Haynes,23,UT,-0.2,20,64,57,4,12,0,0,0,6,0,4,0.211,0.274,0.211,0.485,51.0,0.247,60.0,12,1,2,0,Right
Herb Barnhill,29,C,0.0,23,81,75,4,18,0,1,0,6,3,4,0.24,0.278,0.267,0.545,69.0,0.27,72.0,20,0,2,0,Right
Eugene Tyler,23,UT,-0.1,5,19,18,1,4,0,0,0,6,1,1,0.222,0.263,0.222,0.485,51.0,0.248,59.0,4,0,0,0,Right
Frank Duncan,42,C,0.0,20,58,47,5,7,0,0,0,3,2,9,0.149,0.286,0.149,0.435,36.0,0.243,56.0,7,0,2,0,Right
Satchel Paige,36,P,0.2,27,50,48,4,12,1,0,0,3,1,1,0.25,0.265,0.271,0.536,66.0,0.258,68.0,13,0,1,0,Right
Lloyd Davenport*,31,OF,0.2,2,8,7,0,4,2,0,0,3,0,1,0.571,0.625,0.857,1.482,356.0,0.677,312.0,6,0,0,0,Left
Dave Hoskins*,25,OF,0.0,1,4,4,0,2,0,0,0,2,0,0,0.5,0.5,0.5,1.0,210.0,0.481,198.0,2,0,0,0,Left
Booker McDaniel,29,P,-0.1,14,30,30,2,3,0,0,1,2,0,0,0.1,0.1,0.2,0.3,-8.0,0.138,-2.0,6,0,0,0,Right
Norris Phillips*,27,P,0.0,6,11,10,1,2,0,0,0,1,0,1,0.2,0.273,0.2,0.473,47.0,0.243,59.0,2,0,0,0,Left
Babe Charter,32,1B,0.1,2,8,8,3,3,1,1,0,1,0,0,0.375,0.375,0.75,1.125,244.0,0.51,215.0,6,0,0,0,Right
Sonny Parker,,P,0.0,1,2,2,0,1,0,0,0,1,0,0,0.5,0.5,0.5,1.0,209.0,0.481,196.0,1,0,0,0,Right
Felton Snow,37,SS,-0.2,1,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-82.0,0,0,0,0,Right
Eddie Locke*,20,UT,-0.1,3,8,8,0,1,0,0,0,0,0,0,0.125,0.125,0.125,0.25,-23.0,0.12,-12.0,1,0,0,0,Left
Joe Greene,31,C,0.0,2,8,8,0,1,0,1,0,0,0,0,0.125,0.125,0.375,0.5,52.0,0.218,45.0,3,0,0,0,Right
Robinson,,1B,-0.1,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-84.0,0,0,0,0,Right
George Walker,28,P,0.0,13,15,14,1,3,0,0,0,0,0,1,0.214,0.267,0.214,0.481,49.0,0.242,59.0,3,0,0,0,Right
Ted Alexander,30,P,-0.1,8,10,9,0,0,0,0,0,0,0,1,0.0,0.1,0.0,0.1,-68.0,0.075,-38.0,0,0,0,0,Right
Gready McKinnis,29,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-84.0,0,0,0,0,Right
