Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,SF
Neil Robinson,35,CF,0.5,23,92,81,14,22,3,2,2,16,0,9,0.272,0.352,0.432,0.784,142.0,0.374,136.0,35,1,1,0
Red Longley,33,SS,0.5,25,96,91,9,29,4,1,0,10,1,5,0.319,0.354,0.385,0.739,128.0,0.353,124.0,35,0,0,0
Fred Bankhead,30,2B,0.4,25,109,101,18,28,3,1,0,9,6,6,0.277,0.324,0.327,0.651,101.0,0.324,102.0,33,1,1,0
Fred McDaniel*,30,3B,0.3,20,81,72,9,21,3,2,0,9,1,9,0.292,0.37,0.389,0.759,135.0,0.365,131.0,28,0,0,0
Cowan Hyde,36,RF,0.5,22,93,87,14,27,1,2,1,8,5,5,0.31,0.348,0.402,0.75,132.0,0.365,127.0,35,0,1,0
Marlin Carter*,30,3B,-0.1,8,35,32,7,8,1,1,0,7,0,3,0.25,0.314,0.344,0.658,103.0,0.318,103.0,11,0,0,0
Verdell Mathis*,29,UT,0.5,20,73,61,9,13,1,0,0,7,0,12,0.213,0.342,0.23,0.572,78.0,0.3,92.0,14,0,0,0
Nat Rogers*,49,OF,-0.5,15,40,38,1,5,0,0,0,5,0,2,0.132,0.175,0.132,0.307,-5.0,0.158,10.0,5,0,0,0
Jim Canada*,31,1B,0.0,17,64,59,5,14,2,0,0,5,0,5,0.237,0.297,0.271,0.568,76.0,0.282,82.0,16,0,0,0
Emmett Wilson#,30,LF,0.0,14,51,45,9,10,2,1,0,4,0,6,0.222,0.314,0.311,0.625,93.0,0.308,97.0,14,0,0,0
Bob Smith,36,UT,0.3,9,27,25,2,11,0,0,0,4,0,2,0.44,0.481,0.44,0.921,186.0,0.447,178.0,11,0,0,0
T.J. Brown,27,SS,-0.1,6,18,18,3,6,0,0,0,3,0,0,0.333,0.333,0.333,0.667,106.0,0.32,104.0,6,0,0,0
Willie Hutchinson,28,P,0.0,12,22,22,4,5,0,0,0,2,0,0,0.227,0.227,0.227,0.455,41.0,0.218,45.0,5,0,0,0
Jimmy Ford,30,SS,0.1,1,5,4,2,2,1,0,0,2,0,1,0.5,0.6,0.75,1.35,316.0,0.617,276.0,3,0,0,0
Porter Moss,33,P,-0.1,13,29,28,2,5,1,0,0,2,0,0,0.179,0.179,0.214,0.393,21.0,0.186,24.0,6,0,1,0
Robert Keyes*,,P,0.0,5,10,10,1,2,0,0,0,2,0,0,0.2,0.2,0.2,0.4,24.0,0.192,30.0,2,0,0,0
Larry Brown#,41,C,0.0,17,56,48,2,10,1,0,0,1,0,8,0.208,0.321,0.229,0.551,71.0,0.286,84.0,11,0,0,0
Pepper Sharpe#,24,OF,0.3,5,12,11,0,4,1,0,0,1,0,1,0.364,0.417,0.455,0.871,169.0,0.417,161.0,5,0,0,0
Casey Jones*,24,C,0.2,7,16,13,4,5,0,0,0,1,0,3,0.385,0.5,0.385,0.885,175.0,0.441,175.0,5,0,0,0
Jelly Taylor*,32,1B,0.0,1,4,3,1,1,0,0,0,1,0,1,0.333,0.5,0.333,0.833,160.0,0.427,166.0,1,0,0,0
Smith,,3B,0.0,1,4,4,0,1,0,0,0,1,0,0,0.25,0.25,0.25,0.5,55.0,0.24,58.0,1,0,0,0
Felix Evans,32,UT,0.0,4,9,8,0,1,0,0,0,0,0,0,0.125,0.125,0.125,0.25,-23.0,0.12,-26.0,1,0,1,0
James Lockman,,SS,-0.1,2,7,7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,-100.0,0.038,-81.0,0,0,0,0
Gerves Fagan,27,OF,0.0,1,5,5,0,1,0,1,0,0,0,0,0.2,0.2,0.6,0.8,144.0,0.349,121.0,3,0,0,0
Homer Curry*,38,OF,0.0,1,5,3,1,0,0,0,0,0,0,2,0.0,0.4,0.0,0.4,28.0,0.299,92.0,0,0,0,0
Bill Barnes,22,P,-0.1,2,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-82.0,0,0,0,0
Satchel Paige,36,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-84.0,0,0,0,0
