,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos.1,Awards
0,1,Ted Radcliffe,41,C,-0.1,22,85,76,12,15,3,0,0,11,0,5,.197,.247,.237,.484,49,.240,49,18,0,4,2,AS
1,2,Piper Davis,26,1B,0.0,32,130,123,15,26,3,2,2,13,1,7,.211,.254,.317,.571,75,.274,74,39,0,0,3/46,
2,3,Tommy Sampson,31,2B,1.7,30,124,112,18,38,4,2,0,13,1,7,.339,.393,.411,.804,147,.387,145,46,3,2,4,
3,4,Artie Wilson*,23,SS,2.2,31,140,132,22,50,7,5,0,14,2,6,.379,.410,.508,.918,182,.432,174,67,1,1,6,AS
4,5,John Britton*,25,3B,1.0,33,142,130,16,42,5,1,1,18,0,8,.323,.367,.400,.767,136,.370,134,52,1,3,5,
5,6,Lester Lockett,32,LF,-0.3,28,101,94,12,20,4,1,0,11,0,5,.213,.253,.277,.529,63,.257,62,26,0,2,7/8,
6,7,Felix McLaurin#,22,CF,0.3,27,110,99,13,22,0,1,1,5,3,8,.222,.287,.273,.560,72,.279,75,27,1,2,8,
7,8,Ed Steele*,28,RF,1.7,32,131,112,25,40,6,4,3,23,3,14,.357,.442,.563,1.004,208,.472,199,63,3,2,9,
8,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos,Awards
9,9,Leroy Morney#,35,1B,-0.2,15,42,39,3,7,1,0,0,4,0,3,.179,.238,.205,.443,37,.223,42,8,0,0,/3894,
10,10,Leandy Young,35,OF,-0.1,12,38,37,4,10,2,0,0,1,0,0,.270,.270,.324,.595,83,.283,78,12,0,1,/7,
11,11,Pepper Bassett#,33,C,-0.6,9,28,28,0,2,0,0,0,2,0,0,.071,.071,.071,.143,-56,.069,-54,2,0,0,/2,
12,12,Johnie Scott*,30,OF,0.2,7,24,24,3,9,1,1,0,5,0,0,.375,.375,.500,.875,168,.412,159,12,0,0,/78,
13,13,English,,1B,0.0,2,4,4,0,1,1,0,0,1,0,0,.250,.250,.500,.750,129,.347,120,2,0,0,/3,
14,14,Harrington,,1B,-0.1,1,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-97,0,0,0,/3,
15,15,Raymond Taylor,33,C,0.0,2,2,2,1,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-100,0,0,0,/2,
16,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos,Awards
17,16,Alfred Saylor#,32,P,-0.1,15,42,40,3,6,1,0,0,0,0,0,.150,.150,.175,.325,0,.155,-6,7,0,2,1,
18,17,John Huber*,36,P,0.3,9,26,26,3,8,3,0,0,3,0,0,.308,.308,.423,.731,124,.345,118,11,0,0,/12,
19,18,Alvin Gipson,30,P,0.1,11,26,26,0,6,0,0,0,2,0,0,.231,.231,.231,.462,42,.222,41,6,0,0,1,
20,19,Fay Washington,29,P,-0.1,3,9,9,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-98,0,0,0,/1,
21,20,Dan Bankhead,24,P,0.3,2,5,5,4,4,0,1,0,3,0,0,.800,.800,1.200,2.000,512,.932,484,6,0,0,/1,
22,21,Alonzo Boone,36,P,-0.1,1,5,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-147,0,0,1,/1,
23,22,Earl Bumpus*,30,P,-0.1,1,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-98,0,0,0,/1,
24,23,Jimmie Newberry,25,P,0.1,3,4,1,1,0,0,0,0,0,0,1,.000,.500,.000,.500,57,.370,168,0,0,2,/1,
25,24,Johnny Markham,35,P,0.0,2,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-97,0,0,0,/1,
26,25,Specs Ellis,,P,0.0,2,2,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-300,0,0,1,/1,
27,26,Johnny Williams,26,P,0.0,1,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-100,0,0,0,/1,
28,27,Gready McKinnis,30,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-100,0,0,0,/1,AS
29,28,Tom Hunter,,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-100,0,0,0,/1,
30,29,Pee Wee Jenkins,21,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,/1,
31,,Team Totals,,,5.8,33,1234,1138,155,306,41,18,7,129,10,64,.269,.313,.355,.668,105,.322,103,404,9,23,,
32,,Non-Pitcher Totals,,,5.7,,1104,1015,144,282,37,17,7,121,10,63,.278,.326,.368,.694,113,.334,111,374,9,17,,
33,,Pitcher Totals,,,0.1,,130,123,11,24,4,1,0,8,0,1,.195,.202,.244,.446,37,.212,31,30,0,6,,
