Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,Pos.1,Awards
1,Bob Smith,37,C,0.0,13,41,36,3,8,1,0,0,1,0,5,.222,.317,.250,.567,75,.288,82,9,1,0,0,2/46,
2,Sam Jackson*,,1B,0.1,4,17,17,2,5,2,0,0,3,0,0,.294,.294,.412,.706,116,.333,110,7,0,0,0,/3,
3,Art Pennington#,21,2B,0.4,16,63,57,13,19,2,0,2,10,2,6,.333,.397,.474,.871,167,.417,162,27,0,0,0,/4536,
4,Jesse Douglas*,28,SS,1.1,20,85,75,10,30,5,4,0,12,2,9,.400,.464,.573,1.038,218,.486,207,43,0,0,1,6/45,
5,Clyde Nelson,22,3B,-0.1,21,78,73,8,17,2,2,0,7,2,5,.233,.282,.315,.597,83,.290,83,23,0,0,0,35,
6,John Bissant,30,LF,0.6,21,88,85,7,25,4,3,0,6,1,2,.294,.310,.412,.722,121,.340,115,35,1,0,1,7/4,
7,Lloyd Davenport*,32,CF,0.3,19,78,72,7,21,1,0,0,8,1,4,.292,.329,.306,.635,95,.309,96,22,0,0,2,8/1,AS
8,Johnny Smith*,27,RF,0.7,11,40,37,1,13,1,0,0,7,1,2,.351,.385,.378,.763,135,.368,134,14,0,0,1,9/1,
9,George Minor*,25,OF,0.3,17,41,34,8,9,1,2,0,0,4,6,.265,.375,.412,.787,142,.393,140,14,0,0,1,/879,
10,Herb Barnhill,30,UT,0.1,14,35,33,3,8,1,0,0,1,0,2,.242,.286,.273,.558,72,.274,74,9,0,0,0,2/79,
11,Jimmie Crutchfield*,34,OF,0.0,8,30,27,1,5,1,0,0,1,0,3,.185,.267,.222,.489,51,.248,57,6,0,0,0,/9,
12,Ollie Waldon*,33,UT,-0.2,11,29,25,3,5,0,1,0,1,0,4,.200,.310,.280,.590,82,.296,87,7,0,0,0,/7549,
13,Ralph Wyatt,26,SS,0.2,6,24,23,3,7,1,0,0,1,0,1,.304,.333,.348,.681,109,.329,107,8,0,0,0,/6,
14,Willie Wells,21,IF,-0.4,6,20,17,2,2,0,0,0,2,0,1,.118,.167,.118,.284,-12,.148,-17,2,0,0,2,/65,
15,Henry McCall*,36,1B,0.2,3,9,9,1,5,0,0,0,3,0,0,.556,.556,.556,1.111,242,.534,236,5,0,0,0,/3,
16,Rufus Hatten,23,C,-0.2,3,9,9,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-98,0,0,0,0,/2,
17,Nat Rogers*,50,OF,0.2,2,8,8,0,5,0,0,0,2,1,0,.625,.625,.625,1.250,285,.618,277,5,0,0,0,/9,
18,Buck Felder,28,MI,-0.2,2,5,5,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-98,0,0,0,0,/46,
19,T.J. Brown,28,SS,0.1,1,5,4,0,2,0,0,0,0,1,0,.500,.600,.500,1.100,239,.568,239,2,0,1,0,/6,
20,Walter Treherne,31,1B,0.1,3,5,4,0,1,1,0,0,0,0,1,.250,.400,.500,.900,176,.426,168,2,0,0,0,/3,
21,Rainey Bibbs#,33,3B,0.1,1,4,3,0,1,0,0,0,0,0,1,.333,.500,.333,.833,158,.425,167,1,0,0,0,/5,
22,Alex Radcliff,38,3B,0.0,1,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-98,0,0,0,0,/5,AS
23,Longford,,C,0.0,1,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-100,0,0,0,0,/2,
24,Yann,,C,0.0,1,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-100,0,0,0,0,/2,
25,Gentry Jessup,29,P,0.0,13,40,38,2,6,2,0,0,2,0,1,.158,.179,.211,.390,20,.189,18,8,0,0,1,1,AS
26,Gready McKinnis,30,P,-0.1,4,10,10,1,1,0,0,0,0,0,0,.100,.100,.100,.200,-38,.096,-38,1,0,0,0,/1,AS
27,Pepper Sharpe#,25,P,0.1,6,10,10,1,3,0,0,0,0,0,0,.300,.300,.300,.600,85,.288,82,3,0,0,0,/13,
28,Al Jones,,P,0.0,3,6,6,0,1,0,0,0,0,0,0,.167,.167,.167,.333,3,.160,1,1,0,0,0,/1,
29,Buck Thomas,,P,-0.1,1,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-98,0,0,0,0,/1,
30,Leroy Sutton,23,P,0.0,3,4,4,0,1,0,0,0,0,0,0,.250,.250,.250,.500,54,.240,53,1,0,0,0,/1,
31,Ollie West*,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,/1,
