Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Bats
Lee Moody,27,LF,-0.3,47,186,178,21,45,5,2,1,26,2,5,0.253,0.273,0.32,0.593,82.0,0.283,80.0,57,0,3,Right
Bonnie Serrell*,24,2B,2.3,47,192,175,38,56,9,4,4,23,6,15,0.32,0.374,0.486,0.859,164.0,0.409,157.0,85,0,2,Left
Newt Allen,43,1B,-0.1,43,165,154,17,40,7,0,0,16,0,7,0.26,0.292,0.305,0.597,84.0,0.29,83.0,47,0,4,Right
Herb Souell#,31,3B,1.1,50,206,188,31,55,4,1,2,15,4,17,0.293,0.351,0.356,0.708,118.0,0.343,117.0,67,0,1,Both
Dave Harper,26,RF,0.9,25,83,77,8,27,5,5,0,14,1,6,0.351,0.398,0.545,0.943,189.0,0.44,177.0,42,0,0,Right
Bill Williams,31,SS,1.1,40,163,147,20,33,5,4,0,10,2,13,0.224,0.296,0.313,0.609,87.0,0.297,88.0,46,2,1,Right
Mance Smith,27,CF,-0.1,35,123,113,12,22,1,1,0,8,1,8,0.195,0.254,0.221,0.475,46.0,0.237,51.0,25,1,1,Right
Walter Thomas,32,OF,0.0,19,69,62,10,14,4,1,0,8,1,4,0.226,0.284,0.323,0.606,86.0,0.294,86.0,20,1,2,Right
Sammy Haynes,24,C,-0.3,33,88,85,4,16,2,0,0,7,1,2,0.188,0.216,0.212,0.428,32.0,0.209,34.0,18,1,0,Right
Jack Matchett*,36,P,0.2,20,48,42,5,11,0,0,0,7,0,5,0.262,0.34,0.262,0.602,86.0,0.304,92.0,11,0,1,Left
Jim LaMarque*,23,UT,0.3,16,29,27,5,8,1,0,1,6,1,2,0.296,0.345,0.444,0.789,142.0,0.38,138.0,12,0,0,Left
Frank Duncan,43,UT,0.3,20,52,37,2,8,4,0,0,5,1,9,0.216,0.396,0.324,0.72,122.0,0.366,134.0,12,2,4,Right
Norman Young,25,IF,0.1,19,56,47,6,13,1,0,0,5,1,6,0.277,0.37,0.298,0.668,106.0,0.334,112.0,14,1,2,Right
Satchel Paige,37,P,0.1,16,41,39,2,7,1,1,0,5,0,1,0.179,0.2,0.256,0.456,40.0,0.218,37.0,10,0,1,Right
Hilton Smith,37,P,0.2,20,35,32,2,8,0,0,1,3,0,3,0.25,0.314,0.344,0.658,102.0,0.322,103.0,11,0,0,Right
Johnie Scott*,30,OF,0.2,6,25,25,4,6,0,2,0,3,0,0,0.24,0.24,0.4,0.64,96.0,0.296,87.0,10,0,0,Left
Earl Bumpus*,30,OF,-0.3,19,51,49,4,11,1,0,0,3,1,2,0.224,0.255,0.245,0.5,54.0,0.244,55.0,12,0,0,Left
Steve Wylie,33,P,-0.1,6,11,11,0,1,1,0,0,3,0,0,0.091,0.091,0.182,0.273,-17.0,0.126,-19.0,2,0,0,Right
Booker McDaniel,30,P,0.4,17,27,26,4,10,2,0,0,2,0,1,0.385,0.407,0.462,0.869,167.0,0.415,161.0,12,0,0,Right
Doc Wingo,31,C,0.1,15,30,29,4,7,0,0,0,2,0,1,0.241,0.267,0.241,0.508,57.0,0.249,58.0,7,0,0,Right
Raymond Taylor,33,C,-0.1,3,8,8,0,1,0,0,0,2,0,0,0.125,0.125,0.125,0.25,-23.0,0.12,-22.0,1,0,0,Right
Eddie Locke*,21,P,0.0,15,25,24,5,6,1,0,0,1,0,1,0.25,0.28,0.292,0.572,76.0,0.277,75.0,7,0,0,Left
Cecil Perkins,,1B,-0.1,4,13,12,3,2,0,0,0,1,1,1,0.167,0.231,0.167,0.397,23.0,0.216,30.0,2,0,0,Right
Clarence Locke,33,UT,0.0,2,5,5,0,1,0,1,0,1,0,0,0.2,0.2,0.6,0.8,143.0,0.355,123.0,3,0,0,Right
Willard Brown,29,OF,0.0,3,10,9,2,3,0,0,0,1,1,1,0.333,0.4,0.333,0.733,126.0,0.376,129.0,3,0,0,Right
Bob Johnson*,,1B,-0.4,13,30,27,1,3,0,0,0,0,0,2,0.111,0.172,0.111,0.284,-12.0,0.15,-7.0,3,0,1,Left
Dozier Hood,31,C,0.0,2,3,3,1,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,105.0,0.32,103.0,1,0,0,Right
Bobby Vandever*,30,OF,0.0,4,11,11,0,2,0,0,0,0,0,0,0.182,0.182,0.182,0.364,12.0,0.175,12.0,2,0,0,Left
Garcia Massingale,16,C,-0.1,6,8,8,1,1,0,0,0,0,0,0,0.125,0.125,0.125,0.25,-23.0,0.12,-22.0,1,0,0,Right
Loggins,,C,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-100.0,0,0,0,Right
Dean Thomas,31,P,0.0,4,8,7,3,1,0,0,0,0,0,0,0.143,0.143,0.143,0.286,-12.0,0.137,-28.0,1,0,1,Right
Ted Alexander,31,P,-0.1,2,5,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-98.0,0,0,0,Right
Malone,,P,0.0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-100.0,0,0,0,Right
