,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos.1,Awards
0,1,Pepper Bassett#,34,C,-0.2,18,56,55,3,12,0,0,1,6,0,1,.218,.232,.273,.505,47,.237,50,15,,0,0,0,2,
1,2,Piper Davis,27,1B,1.0,25,103,91,14,34,3,2,2,15,2,9,.374,.430,.516,.946,176,.436,170,47,,0,3,0,3/48,
2,3,Buck Felder,29,2B,-0.4,11,42,37,6,4,0,0,1,3,0,3,.108,.175,.189,.364,7,.180,12,7,,0,2,0,4/5,
3,4,Artie Wilson*,24,SS,1.1,27,121,110,17,38,6,0,0,12,2,8,.345,.395,.400,.795,133,.376,133,44,,1,2,0,6,
4,5,John Britton*,26,3B,0.5,16,69,65,13,22,4,1,0,9,2,3,.338,.368,.431,.798,133,.372,129,28,,0,1,0,5,
5,6,Lester Lockett,33,LF,0.3,26,106,98,13,26,5,2,0,11,0,4,.265,.301,.357,.658,92,.309,91,35,,1,3,0,7/58,AS
6,7,Johnny Ray*,33,CF,-0.3,10,43,37,3,5,1,0,0,2,0,3,.135,.200,.162,.362,7,.184,12,6,,0,3,0,8,
7,8,Ed Steele*,29,RF,1.6,27,114,99,17,39,5,8,2,18,2,8,.394,.450,.667,1.116,224,.499,209,66,,2,5,0,9/8,
8,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos,Awards
9,9,Herman Bell,30,C,0.0,13,34,28,4,5,1,1,0,3,0,3,.179,.258,.286,.544,59,.261,60,8,,0,3,0,/2,
10,10,Earl Bumpus*,31,UT,0.2,13,31,30,2,11,1,2,0,7,1,1,.367,.387,.533,.920,168,.420,156,16,,0,0,0,/713,
11,11,Joe Spencer,25,2B,0.0,11,27,25,2,3,1,1,0,4,0,2,.120,.185,.240,.425,24,.202,29,6,,0,0,0,4,
12,12,Tommy Sampson,32,IF,-0.1,6,24,23,4,6,0,0,0,1,0,1,.261,.292,.261,.553,62,.268,68,6,,0,0,0,/54,
13,13,Quincy Smith#,27,OF,0.0,5,21,21,4,5,1,1,0,0,0,0,.238,.238,.381,.619,79,.279,74,8,,0,0,0,/87,
14,14,Freddie Shepard*,29,OF,0.1,6,20,18,4,5,2,1,0,1,0,0,.278,.278,.500,.778,125,.347,115,9,,0,2,0,/8579,
15,15,Alfred Saylor#,33,1B,-0.3,8,14,14,0,1,0,0,0,0,0,0,.071,.071,.071,.143,-58,.068,-49,1,,0,0,0,/13,
16,16,Bill Perkins,39,C,-0.2,3,11,11,2,2,0,0,0,1,0,0,.182,.182,.182,.364,7,.172,12,2,,0,0,0,/2,
17,17,Jack Riley,,UT,0.0,5,11,10,0,1,0,1,0,1,0,1,.100,.182,.300,.482,39,.221,40,3,,0,0,0,/47,
18,18,Leandy Young,36,OF,0.2,5,10,8,1,3,0,0,0,0,0,2,.375,.500,.375,.875,158,.433,164,3,,0,0,0,/7,
19,19,Roy Phelps,,OF,-0.1,3,10,10,2,2,0,1,0,3,0,0,.200,.200,.400,.600,73,.263,65,4,,0,0,0,/8,
20,20,Jim Starks,39,1B,0.0,3,8,8,0,3,0,0,0,0,0,0,.375,.375,.375,.750,120,.355,119,3,,0,0,0,/3,
21,21,Walter Treherne,32,1B,0.0,2,5,5,0,1,0,0,0,0,0,0,.200,.200,.200,.400,17,.189,21,1,,0,0,0,/3,
22,22,James Dailey,,1B,0.1,2,5,5,0,2,1,0,0,1,0,0,.400,.400,.600,1.000,190,.456,177,3,,0,0,0,/3,
23,23,John Henry Oliver,38,OF,-0.1,1,4,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-89,0,,0,0,0,/8,
24,24,Jack McLaurin,25,OF,0.1,1,4,4,0,2,1,0,0,0,0,0,.500,.500,.750,1.250,263,.570,243,3,,0,0,0,/8,
25,25,Collins Jones#,22,UT,0.0,3,4,3,2,1,1,0,0,0,0,1,.333,.500,.667,1.167,239,.520,215,2,,0,0,0,/48,
26,26,Bob Harvey*,27,OF,-0.1,1,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-88,0,,0,0,0,/8,
27,27,Bill Bradford*,31,OF,-0.1,1,3,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-88,0,,0,0,0,/7,
28,28,Curtis Palmer,,OF,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-92,0,,0,0,0,/7,
29,29,Harper,,2B,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-92,0,,0,0,0,/4,
30,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos,Awards
31,30,Jimmie Newberry,26,P,-0.2,12,26,24,2,2,1,0,0,0,0,1,.083,.120,.125,.245,-28,.121,-23,3,1,0,1,0,1,
32,31,Johnny Markham,36,P,-0.2,10,17,17,2,2,0,0,0,0,0,0,.118,.118,.118,.235,-31,.111,-24,2,,0,0,0,/14,
33,32,John Huber*,37,P,0.1,9,15,15,1,4,0,1,0,1,0,0,.267,.267,.400,.667,93,.302,87,6,,0,0,0,/12,
34,33,Alvin Gipson,31,P,0.0,5,11,11,0,3,0,0,0,0,0,0,.273,.273,.273,.545,60,.258,62,3,,0,0,0,/1,
35,34,Alonzo Boone,37,P,0.2,5,10,8,2,2,1,1,0,2,1,1,.250,.333,.625,.958,176,.430,162,5,,0,1,0,/1,
36,35,Frank Thompson*,26,P,-0.1,3,7,7,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-88,0,,0,0,0,/1,
37,36,Willie Young*,32,P,0.0,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-92,0,,0,0,0,/1,
38,,Team Totals,,,2.9,27,992,910,120,246,35,23,6,101,10,52,.270,.313,.379,.692,102,.323,100,345,1,4,26,0,,
39,,Non-Pitcher Totals,,,3.1,,905,827,113,233,33,21,6,98,9,50,.282,.326,.394,.720,110,.335,108,326,,4,24,0,,
40,,Pitcher Totals,,,-0.2,,87,83,7,13,2,2,0,3,1,2,.157,.176,.229,.405,18,.190,21,19,1,0,2,0,,
