Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,IBB
Herb Souell#,32,3B,1.1,45,194,176,38,57,8,4,1,33,4,10,0.324,0.367,0.432,0.799,133.0,0.371,130.0,76,2,6,0
Johnie Scott*,31,CF,-0.4,49,206,194,29,47,6,4,1,31,6,11,0.242,0.283,0.33,0.613,79.0,0.289,80.0,64,0,1,0
Jackie Robinson,26,SS,2.1,34,137,120,25,45,13,1,4,27,3,16,0.375,0.449,0.6,1.049,205.0,0.476,191.0,72,0,1,0
Lee Moody,28,1B,0.8,45,186,175,26,58,10,0,1,26,1,7,0.331,0.357,0.406,0.763,123.0,0.357,121.0,71,0,4,0
Walter Thomas,33,RF,1.0,48,196,178,27,56,5,4,1,22,4,11,0.315,0.365,0.404,0.769,125.0,0.36,123.0,72,3,4,0
Bill Williams,32,2B,1.8,49,213,190,49,58,10,2,2,15,11,17,0.305,0.368,0.411,0.779,128.0,0.373,127.0,78,2,4,0
Chico Renfroe,22,UT,0.3,39,151,133,19,33,3,2,0,14,1,11,0.248,0.31,0.301,0.611,79.0,0.294,83.0,40,1,6,0
Sammy Haynes,25,C,-0.5,26,80,76,7,15,1,0,0,10,1,3,0.197,0.238,0.211,0.448,32.0,0.218,40.0,16,1,0,0
Hilton Smith,38,P,0.1,20,41,39,2,10,1,0,0,8,1,1,0.256,0.275,0.282,0.557,63.0,0.264,65.0,11,0,1,0
Booker McDaniel,31,P,0.3,29,62,60,5,14,5,1,0,8,0,1,0.233,0.246,0.35,0.596,73.0,0.273,70.0,21,0,1,0
Chesley Gray,31,UT,0.1,14,40,37,6,9,1,1,0,5,1,2,0.243,0.282,0.324,0.606,77.0,0.286,77.0,12,0,1,0
Bonnie Serrell*,25,1B,0.0,3,13,11,3,2,0,1,0,4,1,1,0.182,0.25,0.364,0.614,78.0,0.29,74.0,4,0,1,0
Elijah Williams*,28,LF,-0.2,17,59,57,4,16,2,0,0,4,1,2,0.281,0.305,0.316,0.621,82.0,0.293,84.0,18,0,0,0
Frank Duncan,44,UT,0.1,15,42,34,2,6,2,0,0,3,1,8,0.176,0.333,0.235,0.569,68.0,0.295,84.0,8,0,0,0
Johnny Ray*,33,UT,0.0,9,27,25,2,6,1,0,0,3,0,2,0.24,0.296,0.28,0.576,69.0,0.28,75.0,7,0,0,0
Satchel Paige,38,P,0.3,10,22,22,2,9,2,0,0,3,0,0,0.409,0.409,0.5,0.909,165.0,0.423,158.0,11,0,0,0
Jim LaMarque*,24,P,-0.4,20,48,48,7,6,1,0,0,3,1,0,0.125,0.125,0.146,0.271,-21.0,0.129,-15.0,7,0,0,0
Jack Matchett*,37,OF,-0.2,18,26,25,1,5,2,0,0,2,0,0,0.2,0.2,0.28,0.48,39.0,0.22,37.0,7,0,1,0
Dave Harper,27,OF,0.1,10,34,32,2,8,1,0,0,1,2,2,0.25,0.294,0.281,0.575,69.0,0.284,74.0,9,0,0,0
Eddie Locke*,22,P,0.1,5,10,9,0,2,1,1,0,1,1,1,0.222,0.3,0.556,0.856,147.0,0.387,131.0,5,0,0,0
Sylvester Carlisle,19,2B,0.0,2,5,4,0,1,0,0,0,1,0,1,0.25,0.4,0.25,0.65,93.0,0.339,109.0,1,0,0,0
James Abernathy*,26,OF,0.1,2,6,4,1,2,0,0,0,1,1,2,0.5,0.667,0.5,1.167,244.0,0.582,240.0,2,0,0,0
Ted Radcliffe,42,C,0.0,6,18,18,1,5,0,0,0,1,0,0,0.278,0.278,0.278,0.556,63.0,0.263,65.0,5,0,0,0
Clarence McMullen*,,OF,-0.1,2,6,6,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-88.0,0,0,0,0
Emory Long,32,3B,-0.1,1,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-89.0,0,0,0,0
Steve Wylie,34,P,-0.1,8,13,12,1,1,0,0,0,0,0,0,0.083,0.083,0.083,0.167,-51.0,0.079,-55.0,1,0,1,0
Lee Davis,,P,0.0,1,3,2,0,0,0,0,0,0,0,1,0.0,0.333,0.0,0.333,3.0,0.249,58.0,0,0,0,0
