Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,IBB
John Britton*,27,3B,-0.2,10,46,43,6,10,1,1,0,5,2,1,0.233,0.267,0.302,0.569,67,0.281,67,13,1,1,0
Lyman Bostock*,28,1B,0.2,8,33,31,4,12,1,1,0,4,0,0,0.387,0.387,0.484,0.871,156,0.413,148,15,0,2,0
Lee Moody,29,LF,0.0,4,15,15,0,4,1,0,0,4,1,0,0.267,0.267,0.333,0.6,76,0.292,73,5,0,0,0
Ed Steele*,30,RF,0.3,9,40,27,8,7,1,1,0,4,3,7,0.259,0.487,0.37,0.858,153,0.445,161,10,5,1,1
Freddie Shepard*,30,OF,0.1,5,16,16,3,6,1,0,1,3,0,0,0.375,0.375,0.625,1.0,193,0.463,173,10,0,0,0
Pepper Bassett#,35,C,-0.1,9,37,35,2,8,0,0,0,2,1,2,0.229,0.27,0.229,0.499,47,0.251,54,8,0,0,0
Jay Heard*,26,P,0.2,2,9,8,2,4,0,0,0,2,0,0,0.5,0.5,0.5,1.0,194,0.486,197,4,0,1,0
Bill Powell*,27,P,0.0,3,9,9,1,2,1,0,0,2,0,0,0.222,0.222,0.333,0.556,63,0.26,58,3,0,0,0
Tommy Sampson,33,IF,0.2,3,8,5,0,1,0,0,0,2,0,1,0.2,0.5,0.2,0.7,107,0.419,148,1,2,0,0
Lester Lockett,34,OF,0.0,2,9,7,2,2,0,0,0,1,0,1,0.286,0.375,0.286,0.661,95,0.34,104,2,0,1,0
Collins Jones#,23,OF,0.0,1,5,4,0,1,0,0,0,1,0,1,0.25,0.4,0.25,0.65,92,0.349,109,1,0,0,0
Emanuel Sampson,35,OF,-0.2,7,20,18,3,3,0,0,0,1,1,2,0.167,0.25,0.167,0.417,23,0.228,37,3,0,0,0
Piper Davis,28,2B,0.4,10,45,36,7,10,2,2,0,0,1,8,0.278,0.409,0.444,0.854,151,0.411,146,16,0,1,0
Artie Wilson*,25,SS,0.3,10,47,40,7,13,0,0,0,0,3,7,0.325,0.426,0.325,0.751,121,0.389,128,13,0,0,0
Jimmy Reynolds#,25,UT,-0.1,5,15,13,0,2,0,0,0,0,0,1,0.154,0.267,0.154,0.421,24,0.235,44,2,1,0,0
John Thomas,,CF,-0.1,3,13,13,0,3,0,0,0,0,0,0,0.231,0.231,0.231,0.462,36,0.225,38,3,0,0,0
Willie McNeely,,OF,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-100,0,0,0,0
Herman Bell,31,C,-0.1,1,4,4,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-89,0,0,0,0
Jimmie Newberry,27,P,-0.1,3,9,9,0,1,0,0,0,0,0,0,0.111,0.111,0.111,0.222,-35,0.108,-29,1,0,0,0
Alvin Gipson,32,P,0.0,3,6,6,0,1,0,0,0,0,0,0,0.167,0.167,0.167,0.333,-2,0.162,2,1,0,0,0
Nat Pollard,31,P,-0.1,3,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-89,0,0,0,0
Curtis Hollingsworth,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0
