Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH
Alex Radcliff,40,3B,0.0,8,34,32,2,8,1,0,0,6,0,1,0.25,0.294,0.281,0.575,69,0.287,73,9,1,0
Red Longley,36,RF,0.2,10,44,39,7,12,0,1,1,6,2,4,0.308,0.386,0.436,0.822,142,0.399,136,17,1,0
Cowan Hyde,39,CF,0.1,7,32,32,4,10,2,1,0,5,3,0,0.313,0.313,0.438,0.75,120,0.361,110,14,0,0
Casey Jones*,27,C,0.2,10,34,33,4,9,1,2,1,4,0,1,0.273,0.294,0.515,0.809,137,0.37,121,17,0,0
Jelly Taylor*,35,1B,0.0,11,46,40,7,11,3,0,0,3,0,5,0.275,0.356,0.35,0.706,108,0.35,109,14,0,1
Larry Brown#,44,C,0.2,4,11,9,2,5,1,0,0,3,0,1,0.556,0.6,0.667,1.267,272,0.603,268,6,0,1
Marlin Carter*,33,UT,-0.4,10,34,32,2,5,1,0,0,3,0,1,0.156,0.182,0.188,0.369,9,0.183,11,6,0,1
Frank Pearson,26,P,0.0,3,3,3,1,1,0,0,0,2,0,0,0.333,0.333,0.333,0.667,96,0.324,95,1,0,0
Fred Bankhead,33,2B,-0.3,10,44,41,4,9,1,0,0,2,1,2,0.22,0.273,0.244,0.517,52,0.26,59,10,1,0
Dan Bankhead,26,P,-0.1,5,17,16,0,2,0,0,0,2,0,1,0.125,0.176,0.125,0.301,-11,0.16,1,2,0,0
Willie Wells,23,SS,0.0,12,45,38,5,11,2,0,0,1,0,2,0.289,0.341,0.342,0.684,101,0.337,102,13,1,4
Neil Robinson,38,OF,-0.2,3,11,10,0,1,1,0,0,1,0,1,0.1,0.182,0.2,0.382,12,0.194,20,2,0,0
Verdell Mathis*,32,OF,-0.3,10,35,34,4,7,1,0,0,1,0,1,0.206,0.229,0.235,0.464,36,0.228,40,8,0,0
Leslie Green*,32,OF,-0.2,4,10,9,0,0,0,0,0,0,0,1,0.0,0.1,0.0,0.1,-70,0.077,-46,0,0,0
Fred McDaniel*,33,LF,-0.3,10,35,33,3,8,0,0,0,0,0,0,0.242,0.242,0.242,0.485,43,0.236,41,8,0,2
Willie Hutchinson,31,P,0.0,6,6,6,0,1,0,0,0,0,0,0,0.167,0.167,0.167,0.333,-2,0.162,2,1,0,0
John Huber*,38,C,0.0,4,6,4,1,0,0,0,0,0,0,2,0.0,0.333,0.0,0.333,0,0.257,57,0,0,0
Allen Bryant*,28,P,0.0,2,5,5,0,1,0,0,0,0,0,0,0.2,0.2,0.2,0.4,18,0.195,21,1,0,0
Felix Evans,35,P,-0.1,4,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-89,0,0,0
Spoon Carter*,43,P,0.0,3,3,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-93,0,0,0
Riley Stewart*,27,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-100,0,0,0
