Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH
Ed Steele*,31,RF,0.4,14,60,49,12,18,4,0,0,12,0,10,0.367,0.483,0.449,0.932,150.0,0.457,155.0,22,1,0
Piper Davis,29,2B,0.6,14,63,58,15,21,3,3,1,11,1,5,0.362,0.413,0.569,0.982,161.0,0.446,151.0,33,0,0
Lee Moody,30,1B,-0.3,13,54,49,2,11,0,0,0,7,2,2,0.224,0.255,0.224,0.479,29.0,0.24,28.0,11,0,3
Pepper Bassett#,36,C,-0.3,16,51,48,4,10,1,0,1,6,0,3,0.208,0.255,0.292,0.547,46.0,0.262,45.0,14,0,0
Eli Chism,30,LF,0.2,16,64,57,11,17,3,3,0,5,1,1,0.298,0.344,0.456,0.8,113.0,0.369,108.0,26,3,3
John Britton*,28,3B,-0.7,14,66,61,6,12,0,0,0,4,0,1,0.197,0.21,0.197,0.406,9.0,0.199,4.0,12,0,4
Artie Wilson*,26,SS,0.5,15,73,59,11,20,1,1,0,4,2,11,0.339,0.443,0.39,0.833,124.0,0.409,132.0,23,0,3
Earl Ashby,26,UT,0.1,1,4,4,1,2,1,1,0,3,1,0,0.5,0.5,1.25,1.75,361.0,0.795,315.0,5,0,0
Bobby Robinson#,34,CF,0.0,15,69,66,12,21,4,0,0,2,2,2,0.318,0.348,0.379,0.727,94.0,0.347,94.0,25,1,0
Tommy Sampson,34,2B,-0.1,6,16,16,2,4,0,0,0,2,0,0,0.25,0.25,0.25,0.5,34.0,0.241,33.0,4,0,0
Orinthal Anderson*,26,OF,-0.1,7,23,23,3,7,2,0,1,2,0,0,0.304,0.304,0.522,0.826,119.0,0.369,105.0,12,0,0
John Thomas,,OF,-0.1,3,13,13,0,4,0,0,0,2,0,0,0.308,0.308,0.308,0.615,65.0,0.297,65.0,4,0,0
Samuel Williams*,24,P,0.1,1,4,2,2,1,1,0,0,1,0,1,0.5,0.75,1.0,1.75,366.0,0.728,310.0,2,1,0
Alonzo Perry*,25,P,0.0,8,13,13,0,4,0,0,0,1,0,0,0.308,0.308,0.308,0.615,65.0,0.297,65.0,4,0,0
Jimmie Newberry,28,P,-0.1,8,14,13,0,1,0,0,0,1,1,1,0.077,0.143,0.077,0.22,-40.0,0.13,-33.0,1,0,0
James Bizzle,27,OF,0.0,1,2,2,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0,168.0,0.482,170.0,1,0,0
Silas Griffin,,3B,-0.1,1,5,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-104.0,0,0,0
Herman Bell,32,C,-0.2,5,11,11,0,1,0,0,0,0,0,0,0.091,0.091,0.091,0.182,-51.0,0.088,-54.0,1,0,0
Jim West#,42,1B,-0.1,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-103.0,0,0,0
Jay Heard*,27,P,-0.2,5,8,8,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-102.0,0,0,0
Bill Powell*,28,P,0.0,3,8,5,0,0,0,0,0,0,0,3,0.0,0.375,0.0,0.375,4.0,0.294,63.0,0,0,0
Nat Pollard,32,P,0.0,3,7,6,0,2,0,0,0,0,0,0,0.333,0.333,0.333,0.667,79.0,0.322,76.0,2,0,1
Curtis Hollingsworth,30,P,0.0,4,3,2,0,0,0,0,0,0,0,1,0.0,0.333,0.0,0.333,-7.0,0.261,44.0,0,0,0
