Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Bats
Willard Brown,32,CF,2.6,48,217,199,42,75,22,7,6,64,12,16,0.377,0.426,0.648,1.074,185.0,0.487,170.0,129,1,1,Right
Buck O'Neil,35,1B,0.8,60,246,217,54,62,14,3,5,37,15,24,0.286,0.362,0.447,0.809,116.0,0.384,112.0,97,2,3,Right
Hank Thompson*,21,SS,2.4,43,197,173,51,58,8,5,8,36,7,21,0.335,0.413,0.578,0.991,164.0,0.45,152.0,100,2,1,Left
Herb Souell#,34,3B,1.0,61,278,255,52,85,5,7,1,32,16,16,0.333,0.382,0.42,0.801,114.0,0.387,113.0,107,4,3,Both
Johnie Scott*,33,LF,-0.1,65,260,241,42,62,10,6,2,27,12,19,0.257,0.312,0.373,0.685,83.0,0.328,80.0,90,0,0,Left
Tom Cooper,,RF,0.0,54,198,164,38,46,6,0,1,25,6,24,0.28,0.376,0.335,0.711,91.0,0.353,98.0,55,1,9,Right
Joe Greene,35,C,1.3,42,151,115,30,38,6,1,4,24,5,30,0.33,0.476,0.504,0.981,162.0,0.464,163.0,58,2,4,Right
Chico Renfroe,24,2B,1.2,53,221,174,33,49,10,2,0,20,3,33,0.282,0.405,0.362,0.767,106.0,0.38,114.0,63,3,11,Right
Earl Taborn,24,C,0.7,40,143,123,22,36,10,0,0,20,1,14,0.293,0.383,0.374,0.757,103.0,0.37,107.0,46,4,2,Right
Ted Strong#,30,OF,-0.1,41,138,116,12,26,4,0,2,15,0,20,0.224,0.348,0.31,0.658,77.0,0.332,85.0,36,2,0,Both
Curt Roberts,17,MI,0.6,19,78,71,12,25,2,3,2,13,0,4,0.352,0.387,0.549,0.936,149.0,0.427,140.0,39,0,3,Right
Jim LaMarque*,26,P,0.3,25,69,63,13,18,3,2,0,13,0,2,0.286,0.318,0.397,0.715,91.0,0.335,86.0,25,1,3,Left
Hilton Smith,40,P,0.1,23,45,43,4,12,1,0,1,10,0,1,0.279,0.295,0.372,0.668,78.0,0.312,73.0,16,0,1,Right
Ford Smith#,28,P,0.1,15,44,38,8,10,0,0,1,9,0,4,0.263,0.333,0.342,0.675,81.0,0.329,82.0,13,0,2,Both
John Sanderson,19,SS,-0.2,9,30,28,2,6,0,0,0,4,0,2,0.214,0.267,0.214,0.481,29.0,0.245,35.0,6,0,0,Right
Steve Wylie,36,P,0.1,10,21,19,3,4,1,1,0,3,0,1,0.211,0.25,0.368,0.618,64.0,0.283,55.0,7,0,1,Right
Connie Johnson,24,P,-0.1,18,28,25,7,4,1,0,0,2,0,2,0.16,0.222,0.2,0.422,13.0,0.214,15.0,5,0,1,Right
Satchel Paige,40,P,-0.1,7,10,9,0,1,0,0,0,2,0,0,0.111,0.111,0.111,0.222,-40.0,0.107,-58.0,1,0,1,Right
Lee Moody,30,IF,0.0,3,13,12,3,3,0,1,0,1,0,1,0.25,0.308,0.417,0.724,93.0,0.334,86.0,5,0,0,Right
Gene Richardson*,19,P,-0.1,3,12,11,0,2,0,0,0,1,0,0,0.182,0.182,0.182,0.364,-3.0,0.175,-13.0,2,0,1,Left
Ted Alexander,34,P,0.0,11,22,17,0,2,0,0,0,1,0,3,0.118,0.25,0.118,0.368,0.0,0.214,10.0,2,0,2,Right
Thomas Favors*,26,UT,-0.1,6,26,21,3,5,0,0,0,0,1,3,0.238,0.36,0.238,0.598,62.0,0.318,77.0,5,1,1,Left
Bill Duffy,,C,0.0,1,4,2,2,0,0,0,0,0,1,2,0.0,0.5,0.0,0.5,39.0,0.41,118.0,0,0,0,Right
Cannonball Berry,35,P,-0.1,16,15,13,0,2,0,0,0,0,0,0,0.154,0.154,0.154,0.308,-18.0,0.148,-38.0,2,0,2,Right
Gene Collins*,22,P,0.0,8,12,11,1,2,0,0,0,0,0,1,0.182,0.25,0.182,0.432,16.0,0.226,25.0,2,0,0,Left
Larry Napoleon,25,P,-0.1,3,5,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-104.0,0,0,0,Right
Johnnie Scroggins,24,P,-0.1,4,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-105.0,0,0,0,Right
