,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos.1,Awards
0,1,Earl Taborn,25,C,0.9,44,170,147,15,44,10,0,0,23,2,21,.299,.387,.367,.754,103,.365,108,54,0,2,2,
1,2,Tom Cooper,,1B,0.5,31,128,107,17,31,2,3,1,13,2,16,.290,.387,.393,.780,109,.372,113,42,1,4,3/2947,
2,3,Curt Roberts,18,2B,-0.2,46,196,180,25,44,10,1,0,20,5,14,.244,.299,.311,.610,63,.293,66,56,0,2,4/37,
3,4,Gene Baker,23,SS,0.3,46,200,181,39,45,9,7,3,28,5,15,.249,.306,.425,.732,94,.333,88,77,0,4,6/4,
4,5,Herb Souell#,35,3B,0.8,46,211,196,41,56,8,6,2,22,6,14,.286,.336,.418,.755,101,.349,98,82,1,0,5,"AS,AS"
5,6,Elston Howard,19,LF,0.0,20,84,80,16,20,5,3,1,13,1,3,.250,.286,.425,.711,88,.319,81,34,1,0,7,
6,7,Willard Brown,33,CF,2.6,46,197,174,43,71,23,2,7,54,8,22,.408,.477,.684,1.161,208,.517,193,119,1,0,8,"AS,AS"
7,8,Hank Thompson*,22,RF,2.1,47,206,175,50,59,13,5,5,29,12,27,.337,.431,.554,.986,162,.453,155,97,2,2,97/4658,
8,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos,Awards
9,9,Johnie Scott*,34,OF,0.7,33,129,110,24,33,6,1,1,23,7,16,.300,.398,.400,.798,114,.389,118,44,2,1,79/8,
10,10,Buck O'Neil,36,1B,-0.5,25,96,89,8,19,1,0,0,11,2,7,.213,.271,.225,.496,34,.247,41,20,0,0,3,
11,11,Charley Hall#,24,OF,0.0,1,2,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-100,0,0,0,/9,
12,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos,Awards
13,12,Jim LaMarque*,27,P,0.7,18,55,45,9,15,3,0,1,11,0,7,.333,.434,.467,.901,141,.426,143,21,1,2,1/8,"AS,AS"
14,13,Hilton Smith,41,P,0.3,13,30,28,6,9,2,1,0,5,0,1,.321,.345,.464,.809,115,.369,110,13,0,1,1/9,
15,14,Ford Smith#,29,P,-0.1,13,27,26,4,5,3,0,0,3,0,0,.192,.222,.308,.530,41,.245,38,8,1,0,/13,
16,15,Gene Collins*,23,P,0.3,12,23,20,4,6,3,0,0,1,0,2,.300,.391,.450,.841,125,.397,125,9,1,0,1,
17,16,Gene Richardson*,20,P,-0.2,8,19,18,2,1,1,0,0,0,0,1,.056,.105,.111,.216,-42,.109,-38,2,0,0,/1,
18,17,Connie Johnson,25,P,-0.1,12,18,18,3,3,1,0,0,1,1,0,.167,.167,.222,.389,3,.182,1,4,0,0,1,
19,18,Leonard Johnson,28,P,-0.1,3,8,8,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-101,0,0,0,/1,
20,19,Tincy Jamerson,17,P,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,/1,
21,,Team Totals,,,8.0,47,1799,1604,306,461,100,29,21,257,51,166,.287,.358,.425,.783,109,.366,108,682,11,18,,
22,,Non-Pitcher Totals,,,7.2,,1619,1441,278,422,87,28,20,236,50,155,.293,.365,.434,.798,113,.373,111,625,8,15,,
23,,Pitcher Totals,,,0.8,,180,163,28,39,13,1,1,21,1,11,.239,.299,.350,.649,73,.307,74,57,3,3,,
